pod,gbps
0,44.96
1,28.26
2,5.95
3,20.71
4,17.25
5,10.09
6,10.49
7,27.72
8,22.05
9,11.71
10,12.24
11,5.91
12,2.74
13,1.89
14,8.98
15,13.76
16,1.79
17,14.15
18,1.71
19,1.73
20,1.71
21,1.73
22,1.98
23,4.00
24,1.90
25,1.48
26,1.70
27,1.69
28,1.85
29,2.29
30,2.47
31,1.95
32,1.99
33,4.25
34,1.99
35,1.90
36,0.96
37,1.69
38,1.57
39,2.28
40,0.66
41,1.84
42,2.89
43,1.79
44,1.74
45,2.16
46,2.39
47,1.79
48,0.87
49,0.99
50,2.90
51,0.93
52,1.29
53,0.71
54,1.60
55,0.94
56,0.49
57,0.96
58,3.01
59,0.44
60,1.62
61,2.42
62,1.59
63,0.97
64,0.84
65,0.62
66,1.00
67,1.37
68,0.48
69,0.80
70,1.09
71,1.34
72,2.02
73,1.24
74,1.63
75,0.53
76,1.26
77,0.42
78,1.25
79,5.03
80,0.43
81,1.11
82,0.27
83,0.72
84,0.63
85,0.62
86,1.34
87,1.98
88,0.90
89,0.89
90,1.39
91,1.53
92,0.61
93,0.47
94,1.71
95,0.91
96,0.46
97,0.67
98,0.29
99,1.41
100,0.58
101,0.76
102,0.19
103,1.50
104,1.67
105,0.83
106,1.07
107,0.20
108,0.62
109,0.55
110,0.79
111,0.38
112,0.96
113,2.03
114,2.24
115,0.63
116,0.24
117,1.25
118,1.75
119,0.64
120,1.17
121,0.38
122,1.51
123,1.64
124,0.92
125,1.94
126,2.41
127,0.32
128,3.66
129,0.71
130,0.46
131,0.69
132,1.09
133,0.80
134,0.81
135,0.83
136,1.63
137,2.43
138,0.28
139,0.56
140,1.90
141,1.78
142,0.75
143,0.21
144,0.20
145,0.53
146,0.29
147,0.35
148,0.35
149,1.04
150,0.94
151,1.55
152,1.83
153,3.88
154,2.17
155,1.37
156,1.67
157,2.08
158,0.69
159,3.47
160,1.39
161,0.37
162,3.07
163,0.46
164,0.35
165,0.34
166,0.91
167,0.96
168,1.88
169,0.86
170,2.46
171,2.42
172,0.19
173,0.37
174,1.66
175,0.19
176,1.02
177,0.45
178,1.35
179,0.52
180,2.19
181,0.37
182,0.92
183,2.12
184,4.12
185,1.21
186,0.44
187,0.55
188,1.01
189,1.49
190,1.22
191,0.88
192,1.31
193,2.32
194,0.54
195,0.40
196,2.00
197,1.94
198,2.63
199,1.02
