# GOMAXPROCS  Aggregate_GBps  PerCore_GBps  Efficiency
1    4.40   4.398  1.00
2    7.16   3.580  0.81
3    10.51  3.502  0.80
4    14.84  3.710  0.84
5    19.16  3.832  0.87
6    22.65  3.775  0.86
7    24.67  3.524  0.80
8    27.69  3.461  0.79
9    32.88  3.653  0.83
10   35.85  3.585  0.82
11   36.98  3.362  0.76
12   37.93  3.161  0.72
13   43.75  3.366  0.77
14   44.00  3.143  0.71
15   48.29  3.219  0.73
16   49.75  3.110  0.71
17   47.80  2.812  0.64
18   47.95  2.664  0.61
19   45.96  2.419  0.55
20   46.52  2.326  0.53
21   48.07  2.289  0.52
22   45.84  2.084  0.47
23   49.18  2.138  0.49
24   54.22  2.259  0.51
25   45.62  1.825  0.41
26   45.98  1.769  0.40
27   45.08  1.670  0.38
28   52.41  1.872  0.43
29   47.50  1.638  0.37
30   48.63  1.621  0.37
31   51.03  1.646  0.37
32   50.05  1.564  0.36
33   47.54  1.441  0.33
34   49.97  1.470  0.33
35   48.99  1.400  0.32
36   50.19  1.394  0.32
37   51.80  1.400  0.32
38   51.19  1.347  0.31
39   46.20  1.185  0.27
40   52.46  1.311  0.30
41   48.08  1.173  0.27
42   40.54  0.965  0.22
43   47.71  1.109  0.25
44   48.92  1.112  0.25
45   47.42  1.054  0.24
46   45.83  0.996  0.23
47   42.83  0.911  0.21
48   43.80  0.913  0.21
49   50.05  1.021  0.23
50   48.39  0.968  0.22
51   45.93  0.901  0.20
52   39.53  0.760  0.17
53   41.93  0.791  0.18
54   49.82  0.923  0.21
55   47.84  0.870  0.20
56   50.64  0.904  0.21
57   53.16  0.933  0.21
58   45.59  0.786  0.18
59   47.76  0.810  0.18
60   44.92  0.749  0.17
61   46.88  0.769  0.17
62   40.73  0.657  0.15
63   46.61  0.740  0.17
64   45.90  0.717  0.16
65   45.23  0.696  0.16
66   48.03  0.728  0.17
67   43.16  0.644  0.15
68   45.08  0.663  0.15
69   47.06  0.682  0.16
70   50.95  0.728  0.17
71   52.10  0.734  0.17
72   50.91  0.707  0.16
73   47.73  0.654  0.15
74   41.20  0.557  0.13
75   42.88  0.572  0.13
76   50.68  0.667  0.15
77   51.31  0.666  0.15
78   42.76  0.548  0.12
79   47.43  0.600  0.14
80   51.86  0.648  0.15
81   46.18  0.570  0.13
82   47.85  0.584  0.13
83   46.44  0.560  0.13
84   49.34  0.587  0.13
85   49.07  0.577  0.13
86   48.19  0.560  0.13
87   48.16  0.554  0.13
88   46.88  0.533  0.12
89   47.78  0.537  0.12
90   42.11  0.468  0.11
91   43.54  0.479  0.11
92   46.35  0.504  0.11
93   47.86  0.515  0.12
94   48.32  0.514  0.12
95   48.09  0.506  0.12
96   46.60  0.485  0.11
97   49.87  0.514  0.12
98   46.36  0.473  0.11
99   51.96  0.525  0.12
100  46.99  0.470  0.11
101  49.49  0.490  0.11
102  53.23  0.522  0.12
103  47.36  0.460  0.10
104  45.98  0.442  0.10
105  44.43  0.423  0.10
106  44.12  0.416  0.09
107  46.33  0.433  0.10
108  47.57  0.440  0.10
109  44.78  0.411  0.09
110  49.94  0.454  0.10
111  49.60  0.447  0.10
112  49.80  0.445  0.10
113  50.35  0.446  0.10
114  52.39  0.460  0.10
115  49.02  0.426  0.10
116  50.19  0.433  0.10
117  48.09  0.411  0.09
118  45.89  0.389  0.09
119  50.41  0.424  0.10
120  49.74  0.414  0.09
121  48.86  0.404  0.09
122  45.78  0.375  0.09
123  42.36  0.344  0.08
124  49.29  0.397  0.09
125  50.17  0.401  0.09
126  51.21  0.406  0.09
127  45.06  0.355  0.08
128  47.09  0.368  0.08
129  51.99  0.403  0.09
130  45.50  0.350  0.08
131  47.00  0.359  0.08
132  44.08  0.334  0.08
133  47.26  0.355  0.08
134  43.44  0.324  0.07
135  48.30  0.358  0.08
136  53.17  0.391  0.09
137  48.56  0.354  0.08
138  48.78  0.353  0.08
139  43.59  0.314  0.07
140  42.07  0.301  0.07
141  51.89  0.368  0.08
142  47.92  0.337  0.08
143  48.02  0.336  0.08
144  45.16  0.314  0.07
145  51.60  0.356  0.08
146  44.62  0.306  0.07
147  47.27  0.322  0.07
148  50.89  0.344  0.08
149  50.48  0.339  0.08
150  45.20  0.301  0.07
151  48.58  0.322  0.07
152  47.85  0.315  0.07
153  50.36  0.329  0.07
154  46.03  0.299  0.07
155  37.05  0.239  0.05
156  49.31  0.316  0.07
157  49.72  0.317  0.07
158  48.81  0.309  0.07
159  46.88  0.295  0.07
160  46.81  0.293  0.07
161  43.93  0.273  0.06
162  49.65  0.306  0.07
163  47.10  0.289  0.07
164  47.17  0.288  0.07
165  46.20  0.280  0.06
166  48.55  0.292  0.07
167  48.33  0.289  0.07
168  49.79  0.296  0.07
169  46.72  0.276  0.06
170  46.94  0.276  0.06
171  44.19  0.258  0.06
172  48.57  0.282  0.06
173  43.46  0.251  0.06
174  50.59  0.291  0.07
175  31.44  0.180  0.04
176  44.76  0.254  0.06
177  49.88  0.282  0.06
178  47.10  0.265  0.06
179  51.81  0.289  0.07
180  52.60  0.292  0.07
181  47.28  0.261  0.06
182  47.34  0.260  0.06
183  50.27  0.275  0.06
184  52.85  0.287  0.07
185  45.51  0.246  0.06
186  43.82  0.236  0.05
187  49.85  0.267  0.06
188  49.37  0.263  0.06
189  50.18  0.265  0.06
190  45.54  0.240  0.05
191  43.61  0.228  0.05
192  52.03  0.271  0.06
